wr berkley,
wabtec,"['WAB', 'Wabtec Corporation', 62.38528975887575]"
walgreens,"['WBA', 'Walgreens Boots Alliance', 46.10710152335789]"
walmart,"['WMT', 'Walmart', 119.98702914472939]"
waste management,
waters,"['WAT', 'Waters Corporation', 199.61347817683566]"
wec,
wells fargo,"['WFC', 'Wells Fargo', 34.11471010291058]"
welltower,
west pharma,"['WST', 'West Pharmaceutical Services', 180.41847815029863]"
western digital,"['WDC', 'Western Digital', 50.052391301030696]"
western union,
west rock,"['WRK', 'WestRock', 31.859782688859582]"
weyerhauser,"['WY', 'Weyerhaeuser', 23.28478263080984]"
whirlpool,"['WHR', 'Whirlpool Corp.', 124.1458696006001]"
williams,
willis towers,
wynn ,
xcel,"['XEL', 'Xcel Energy Inc', 64.02101461438166]"
xerox,
xilinix,"['XLNX', 'Xilinx', 88.70949305658755]"
xylem,"['XYL', 'Xylem Inc.', 71.87478272811227]"
yum,"['YUM', 'Yum! Brands Inc', 89.22050744208737]"
zebra,"['ZBRA', 'Zebra Technologies', 232.3652893287548]"
zimmer,"['ZBH', 'Zimmer Biomet Holdings', 126.57652155558269]"
zions,"['ZION', 'Zions Bancorp', 36.1004348008529]"
zoetis,"['ZTS', 'Zoetis', 131.75130390775377]"
